Area,1990M01,1990M02,1990M03,1990M04,1990M05,1990M06,1990M07,1990M08,1990M09,1990M10,1990M11,1990M12,1991M01,1991M02,1991M03,1991M04,1991M05,1991M06,1991M07,1991M08,1991M09,1991M10,1991M11,1991M12,1992M01,1992M02,1992M03,1992M04,1992M05,1992M06,1992M07,1992M08,1992M09,1992M10,1992M11,1992M12,1993M01,1993M02,1993M03,1993M04,1993M05,1993M06,1993M07,1993M08,1993M09,1993M10,1993M11,1993M12,1994M01,1994M02,1994M03,1994M04,1994M05,1994M06,1994M07,1994M08,1994M09,1994M10,1994M11,1994M12,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03,2023M04,2023M05,2023M06,2023M07,2023M08,2023M09,2023M10,2023M11,2023M12
MA0 WHOLE COUNTRY,4974864,4976277,4978381,4980325,4982613,4984601,4986981,4989525,4992072,4994139,4995856,4998478,5000118,5002068,5004396,5006966,5009679,5012239,5015131,5018401,5021064,5023762,5025890,5029002,5030167,5031672,5034212,5036795,5038869,5041201,5043962,5046368,5048855,5050949,5052624,5054982,5056441,5058438,5060510,5062834,5065568,5068162,5070767,5072884,5074775,5076130,5077399,5077912,5078457,5079872,5082131,5084446,5086679,5088758,5090421,5092393,5093902,5095267,5096820,5098754,5099754,5101309,5102982,5104713,5106431,5108385,5110361,5112088,5113493,5114518,5115496,5116826,5116878,5117622,5118893,5120801,5122754,5124390,5126083,5127446,5128662,5129831,5130915,5132320,5132904,5133696,5134748,5136345,5137854,5139612,5141717,5143217,5144459,5145264,5145871,5147349,5147904,5147958,5148369,5149376,5150761,5152676,5154560,5155540,5156651,5157570,5158189,5159646,5159697,5159509,5160220,5161508,5163075,5164615,5166463,5167479,5168663,5169425,5170164,5171302,5170849,5171220,5172087,5173382,5175066,5175995,5176824,5177888,5178827,5179645,5180602,5181115,5182045,5182966,5183995,5185337,5186677,5188099,5189698,5190893,5192065,5193118,5194027,5194901,5195176,5195620,5196359,5197097,5198500,5200033,5201859,5203222,5204599,5205340,5205918,5206295,5206292,5207242,5208533,5209787,5211153,5212822,5214830,5216332,5217587,5218886,5219674,5219732,5220147,5220986,5222507,5224067,5225722,5227493,5229783,5231511,5233055,5234152,5235602,5236611,5237518,5238318,5239456,5241298,5243063,5245128,5247163,5249376,5251407,5253234,5254507,5255580,5256850,5258403,5260133,5261607,5263686,5266026,5268406,5270465,5272704,5274259,5275614,5276955,5278371,5279335,5280543,5282127,5284508,5286856,5289418,5292102,5294601,5296841,5298736,5300484,5302535,5304319,5306060,5308282,5310551,5313132,5316107,5318221,5321080,5323353,5325088,5326314,5327873,5329200,5330922,5332996,5335040,5337489,5340501,5343287,5346310,5348316,5349941,5351427,5352647,5354244,5356143,5357929,5360076,5362477,5364954,5367650,5370313,5372434,5374191,5375276,5376728,5378380,5380140,5381875,5384119,5386474,5389351,5392677,5395840,5397780,5400086,5401267,5402546,5403690,5405185,5407004,5409337,5411614,5414638,5418074,5420901,5423233,5425430,5426674,5428240,5429745,5431137,5432853,5435061,5437482,5440668,5443438,5446263,5448370,5450269,5451270,5452782,5454088,5455730,5457178,5458505,5461086,5463688,5466228,5468880,5470326,5471803,5471753,5472300,5473061,5473881,5474951,5475716,5477608,5480064,5482220,5484498,5485376,5486775,5487308,5486955,5487408,5488312,5489898,5491025,5492917,5495164,5497875,5500533,5501357,5502735,5503297,5503051,5503553,5504532,5505361,5506533,5508069,5510288,5511870,5512813,5513804,5514668,5513130,5513528,5513575,5513282,5513505,5512828,5514136,5515547,5517175,5516637,5517608,5518498,5517919,5517819,5517820,5517893,5518275,5518894,5520337,5521801,5523363,5524233,5524764,5525474,5525292,5526126,5526722,5527183,5527045,5527205,5527887,5529667,5530976,5531768,5533193,5533828,5533793,5534475,5535574,5537206,5538361,5539636,5541506,5543445,5545533,5547248,5548405,5549081,5548241,5548383,5548583,5548909,5549059,5550427,5552489,5554423,5557534,5560406,5562006,5563870,5563970,5564701,5565786,5569535,5572072,5575193,5578539,5582750,5590342,5596839,5601115,5603331,5603851
MA1 MAINLAND FINLAND,4950607,4952021,4954121,4956037,4958255,4960172,4962539,4965040,4967544,4969574,4971271,4973874,4975510,4977452,4979769,4982327,4984993,4987515,4990358,4993613,4996267,4998945,5001076,5004155,5005289,5006773,5009317,5011868,5013941,5016247,5019006,5021398,5023875,5025965,5027635,5029989,5031456,5033449,5035525,5037820,5040535,5043121,5045713,5047829,5049736,5051073,5052330,5052810,5053342,5054762,5057007,5059332,5061539,5063600,5065245,5067208,5068737,5070117,5071670,5073596,5074591,5076152,5077824,5079549,5081235,5083189,5085160,5086896,5088317,5089347,5090325,5091624,5091718,5092459,5093729,5095621,5097557,5099155,5100836,5102209,5103439,5104584,5105677,5107063,5107640,5108422,5109484,5111070,5112543,5114286,5116362,5117858,5119103,5119888,5120500,5121957,5122521,5122547,5122955,5123933,5125249,5127139,5128998,5130000,5131105,5132006,5132614,5134021,5134070,5133877,5134597,5135891,5137425,5138930,5140754,5141778,5142971,5143716,5144464,5145596,5145142,5145503,5146361,5147653,5149314,5150193,5151014,5152092,5153044,5153886,5154840,5155339,5156264,5157176,5158217,5159525,5160821,5162178,5163740,5164940,5166101,5167159,5168068,5168893,5169154,5169568,5170262,5170947,5172321,5173809,5175561,5176918,5178321,5179062,5179655,5180038,5180037,5180998,5182293,5183521,5184868,5186471,5188429,5189970,5191260,5192549,5193329,5193385,5193808,5194642,5196128,5197667,5199292,5201016,5203265,5205013,5206615,5207674,5209088,5210081,5210991,5211785,5212914,5214733,5216446,5218407,5220426,5222680,5224719,5226533,5227789,5228814,5230087,5231627,5233317,5234758,5236798,5239090,5241441,5243585,5245843,5247401,5248737,5250032,5251423,5252374,5253565,5255107,5257443,5259722,5262246,5264970,5267482,5269716,5271604,5273331,5275350,5277104,5278814,5281002,5283203,5285703,5288616,5290781,5293692,5295963,5297670,5298858,5300409,5301688,5303381,5305428,5307416,5309791,5312765,5315625,5318640,5320643,5322265,5323693,5324919,5326509,5328390,5330127,5332223,5334548,5336987,5339736,5342395,5344499,5346214,5347269,5348728,5350381,5352108,5353804,5356019,5358285,5361106,5364430,5367582,5369513,5371779,5372913,5374189,5375306,5376799,5378572,5380856,5383070,5386051,5389528,5392407,5394739,5396929,5398173,5399737,5401234,5402617,5404296,5406480,5408816,5411957,5414775,5417610,5419718,5421612,5422604,5424106,5425390,5427004,5428428,5429697,5432187,5434728,5437307,5439992,5441448,5442892,5442837,5443415,5444176,5445013,5446085,5446833,5448676,5451141,5453337,5455639,5456477,5457826,5458325,5457957,5458396,5459293,5460847,5461945,5463743,5465967,5468739,5471389,5472206,5473575,5474083,5473818,5474300,5475290,5476087,5477190,5478590,5480780,5482425,5483393,5484391,5485210,5483641,5484037,5484071,5483765,5483972,5483249,5484463,5485797,5487454,5486946,5487880,5488738,5488130,5488016,5488004,5488058,5488434,5489006,5490401,5491872,5493473,5494367,5494893,5495612,5495408,5496287,5496870,5497309,5497148,5497253,5497889,5499629,5501010,5501780,5503191,5503798,5503664,5504315,5505405,5506999,5508112,5509351,5511157,5513059,5515230,5516967,5518112,5518759,5517897,5518063,5518266,5518581,5518702,5520061,5522078,5523960,5527126,5530016,5531617,5533499,5533611,5534350,5535426,5539135,5541655,5544729,5548019,5552201,5559826,5566327,5570609,5572816,5573310
MK01 Uusimaa,1220297,1221205,1222137,1222843,1224013,1224501,1225281,1226404,1227967,1229220,1230233,1232236,1233224,1234345,1235409,1236613,1237894,1239054,1240335,1241780,1243356,1244685,1245857,1248072,1248747,1249528,1250527,1251669,1252534,1253591,1254752,1256427,1257956,1259165,1260205,1261807,1262680,1263695,1264800,1265920,1267174,1268379,1269877,1272127,1274243,1275546,1276651,1277609,1278499,1279553,1280819,1281952,1283193,1284288,1285417,1287609,1289496,1290859,1292036,1293573,1294630,1295723,1296946,1297991,1299152,1300545,1302229,1304843,1307242,1308437,1309370,1310680,1311793,1312649,1313697,1314864,1316315,1317548,1319056,1321412,1323645,1324927,1326162,1327243,1328236,1329148,1330179,1331548,1332809,1334314,1335866,1338276,1340705,1342059,1343276,1344989,1346134,1346918,1347964,1349174,1350783,1352366,1353850,1356205,1358462,1359810,1361015,1362634,1363741,1364455,1365568,1366955,1368668,1370296,1371710,1374142,1376176,1377566,1378656,1379712,1380599,1381494,1382481,1383818,1385562,1386675,1387312,1389191,1390950,1391981,1393171,1394199,1395490,1396583,1397687,1398895,1400553,1401857,1403049,1404414,1405860,1406903,1407792,1408525,1409506,1410215,1411056,1412291,1413558,1414655,1415624,1417098,1418718,1419240,1419740,1419938,1420697,1421466,1422296,1423143,1424164,1425051,1426149,1427006,1428368,1429189,1429721,1429869,1430576,1431227,1431714,1432630,1433799,1434247,1435166,1436490,1437524,1437996,1438749,1439400,1440310,1440980,1441968,1443079,1444647,1445650,1446546,1447813,1449447,1450530,1451283,1452083,1453452,1454596,1455903,1457140,1458849,1460295,1461426,1462776,1464486,1465547,1466491,1467453,1468660,1469606,1470857,1471880,1473669,1475287,1476513,1478121,1480056,1481410,1482586,1483719,1485246,1486568,1487684,1489286,1491486,1493181,1494633,1495383,1497644,1499218,1500290,1501511,1503064,1504282,1505635,1506891,1508574,1509973,1511399,1512747,1514741,1515860,1516754,1517542,1518484,1519524,1520850,1521912,1523664,1525034,1526200,1527541,1529220,1530342,1531355,1532309,1533652,1534873,1536103,1537506,1539471,1540736,1542285,1543675,1545466,1546739,1548062,1549058,1550225,1551318,1552656,1554221,1556201,1557736,1559312,1560771,1562499,1563951,1565405,1566835,1568201,1569544,1570922,1572411,1574838,1576662,1578651,1579638,1581183,1582468,1583960,1585473,1586978,1588325,1589807,1591624,1593608,1595958,1597762,1598644,1600151,1601254,1602335,1603388,1604671,1605709,1607101,1608474,1610424,1612601,1614543,1615456,1616747,1617673,1618937,1620261,1621222,1622356,1623764,1625606,1627842,1630132,1631911,1633019,1634421,1635106,1636673,1638293,1639422,1640606,1642126,1643904,1646782,1649010,1651108,1651791,1652719,1653939,1655133,1655624,1656859,1658137,1659471,1661161,1662211,1664233,1665940,1666760,1666887,1668384,1669963,1671024,1672094,1673251,1674565,1676134,1678504,1680882,1682836,1683513,1684764,1686252,1687928,1689725,1691162,1692757,1693566,1694182,1695434,1696632,1698443,1698918,1699759,1701134,1701830,1702678,1703244,1704081,1705404,1706630,1708237,1709574,1710972,1710880,1711757,1712775,1713760,1714741,1715388,1716351,1717751,1719451,1721919,1723739,1725504,1725994,1727770,1729592,1731376,1733033,1734301,1735954,1738712,1741527,1744989,1747515,1750185,1752021,1754262,1756417,1758075,1759537
MK02 Southwest Finland,423618,423742,423928,424024,424056,424237,424369,424583,424888,425004,425149,425282,425280,425361,425508,425732,425864,426058,426261,426479,426696,426841,426986,427158,427114,427230,427460,427590,427772,427932,428130,428260,428485,428582,428638,428864,428896,429011,429145,429301,429495,429700,429859,429954,430089,430255,430346,430409,430336,430325,430547,430713,430905,431155,431452,431715,432000,432181,432428,432603,432745,432905,433031,433215,433429,433550,433868,434175,434565,434816,434905,435119,435154,435258,435382,435567,435791,436089,436287,436627,436993,437163,437310,437491,437655,437766,437873,438083,438280,438630,438965,439159,439612,439743,439798,439973,440052,440151,440331,440470,440682,441148,441489,442013,442424,442597,442788,443050,443011,443112,443330,443549,443697,443967,444330,444604,445050,445212,445404,445542,445502,445465,445584,445652,445898,446136,446288,446694,446972,447160,447061,447103,447204,447170,447388,447627,447683,447952,448192,448582,448972,449178,449226,449293,449340,449445,449454,449502,449611,449848,450171,450469,450821,450897,450936,450968,451016,451112,451153,451216,451258,451493,451608,451959,452148,452358,452464,452444,452397,452474,452474,452594,452638,452794,453000,453293,453535,453576,453650,453745,453729,453816,453894,454110,454170,454352,454561,454925,455201,455369,455435,455584,455619,455650,455827,455972,456162,456531,456750,457237,457439,457616,457714,457789,457842,457883,457885,458033,458143,458272,458561,458946,459071,459191,459238,459235,459379,459421,459614,459762,459905,460142,460304,460661,460882,460991,461079,461177,461179,461247,461303,461508,461514,461814,461983,462363,462510,462691,462792,462914,463067,463236,463413,463546,463631,463863,464069,464519,464898,465085,465206,465183,465185,465289,465456,465540,465608,465795,466013,466400,466801,467031,467186,467217,467201,467369,467332,467322,467351,467517,467798,468515,468716,468816,468877,468936,468941,469108,469195,469348,469392,469541,469710,470362,470565,470851,470932,470880,470920,470976,471041,471017,471100,471258,471474,472111,472375,472585,472741,472725,472680,472782,472825,472851,472805,473021,473351,473721,474145,474203,474282,474323,474102,474154,474192,474217,474135,474282,474588,475120,475434,475516,475588,475543,475489,475540,475621,475739,475916,476173,476494,477079,477414,477644,477690,477677,477737,477621,477503,477555,477490,477591,477787,478361,478434,478609,478668,478582,478505,478481,478492,478493,478465,478638,478805,479404,479472,479392,479438,479341,479265,479245,479394,479529,479523,479660,480047,480637,480872,481200,481371,481403,481516,481661,481801,481956,481970,482256,482620,483219,483517,483643,483690,483477,483545,483599,483564,483537,483551,483827,484082,484994,485323,485524,485598,485567,485645,485713,486138,486392,486694,487023,487645,489036,489852,490272,490579,490786
MK04 Satakunta,240905,240935,240919,240919,240922,240948,241000,240984,240871,240868,240886,240777,240837,240856,240848,240882,240920,240871,240914,240965,240938,240927,240926,240767,240727,240734,240724,240798,240790,240761,240831,240774,240720,240765,240800,240744,240722,240655,240659,240652,240774,240823,240853,240810,240758,240731,240694,240519,240479,240483,240483,240547,240607,240553,240508,240461,240242,240160,240073,240028,239948,239918,239925,239940,239921,239930,239889,239678,239487,239408,239360,239255,239131,239031,238943,238862,238847,238749,238683,238497,238332,238209,238094,238057,237915,237811,237790,237688,237688,237627,237622,237421,237117,237063,236923,236818,236716,236589,236479,236376,236340,236295,236270,235995,235835,235789,235733,235662,235483,235341,235246,235189,235127,235031,234859,234662,234420,234304,234287,234233,234029,233960,233869,233767,233682,233553,233328,233177,232969,232814,232681,232569,232426,232324,232221,232123,231963,231871,231881,231838,231537,231406,231326,231307,231230,231141,231030,230930,230934,230838,230835,230748,230627,230551,230566,230480,230376,230362,230381,230269,230220,230250,230293,230237,230063,230030,229974,229910,229788,229723,229720,229713,229731,229818,229790,229672,229521,229445,229417,229389,229313,229270,229232,229150,229097,229068,229062,229006,228899,228867,228783,228675,228590,228558,228473,228418,228340,228351,228433,228289,228210,228134,228090,228051,227958,227832,227756,227691,227701,227616,227567,227385,227213,227176,227107,227131,227046,227010,226958,226886,226830,226751,226671,226602,226514,226494,226457,226358,226292,226216,226219,226159,226198,226266,226325,226272,226151,226139,226144,226116,226094,226032,226028,225991,226008,226021,226100,226003,225827,225808,225782,225762,225675,225653,225606,225519,225492,225570,225560,225506,225421,225373,225332,225302,225265,225130,225062,225035,225043,225113,225223,225146,225054,225085,225042,224934,224873,224892,224828,224787,224877,224898,224824,224677,224613,224646,224630,224556,224534,224509,224459,224405,224327,224341,224318,224198,224092,224100,224093,223983,223861,223839,223772,223783,223711,223667,223614,223355,223229,223135,223087,222957,222801,222650,222582,222549,222633,222581,222505,222208,222030,221967,221906,221740,221532,221436,221373,221309,221261,221297,221277,220997,220776,220748,220649,220398,220310,220258,220019,219904,219858,219775,219711,219307,219005,218840,218737,218624,218403,218289,218176,218088,218088,217978,217791,217476,217267,217084,216928,216752,216587,216480,216408,216367,216297,216185,216110,215807,215621,215532,215524,215416,215342,215325,215261,215226,215256,215253,215081,214797,214694,214630,214468,214281,214171,214023,213912,213706,213663,213583,213435,213276,213151,213026,212852,212556,212392,212296,212219,212116,212131,211950,211863,211903,211955,212008,211851,211740
MK05 Kanta-Häme,161202,161254,161393,161459,161587,161677,161787,161859,161960,162064,162120,162248,162334,162374,162509,162583,162679,162775,162951,163123,163248,163248,163322,163442,163510,163638,163710,163786,163800,163892,164054,164168,164278,164312,164343,164363,164346,164416,164469,164512,164608,164723,164750,164807,164736,164776,164779,164767,164708,164780,164760,164785,164853,164937,164946,165037,164952,164980,165062,164957,164967,164929,164931,164903,164945,165010,165047,165055,164944,164965,164942,164937,164900,164921,164890,164926,164910,165006,165037,164989,164966,164949,164928,164892,164932,164916,164918,164961,164987,165001,164908,165069,165004,165034,165070,165026,165052,165050,165017,164939,164947,164900,164847,164953,164909,164912,164884,164914,164930,164851,164861,164839,164896,165061,165051,165158,165129,165092,165063,165190,165262,165209,165248,165283,165281,165318,165405,165392,165352,165371,165391,165307,165358,165361,165328,165346,165399,165426,165422,165398,165441,165462,165507,165509,165551,165593,165556,165591,165711,165735,165789,165804,165803,165816,165875,165886,165932,165949,165970,166067,166139,166264,166384,166495,166499,166559,166584,166648,166608,166602,166727,166834,167029,167282,167361,167370,167448,167528,167568,167630,167683,167684,167687,167799,167840,167920,168014,168192,168180,168258,168305,168381,168455,168592,168721,168815,168927,169105,169344,169345,169553,169712,169803,169952,170005,170078,170183,170333,170428,170706,170884,170894,171147,171225,171316,171449,171576,171629,171797,171912,172041,172184,172420,172629,172782,172879,172984,173041,173115,173110,173178,173229,173353,173428,173555,173678,173639,173758,173805,173828,173820,173888,173912,173982,174152,174167,174290,174296,174327,174436,174474,174555,174595,174562,174622,174684,174849,174816,174978,175033,175081,175167,175203,175230,175241,175226,175236,175195,175303,175468,175460,175376,175399,175412,175443,175472,175461,175505,175488,175445,175512,175650,175681,175413,175397,175462,175485,175481,175454,175469,175480,175466,175563,175624,175645,175448,175501,175464,175436,175350,175253,175254,175162,175183,175147,175273,175312,175025,174915,174825,174836,174710,174620,174583,174550,174506,174469,174444,174411,174045,173871,173896,173822,173781,173634,173550,173493,173440,173418,173476,173378,173044,172948,172918,172868,172720,172666,172598,172477,172383,172301,172173,172064,171961,171690,171643,171550,171364,171294,171196,171137,171175,171213,171244,171243,171169,171004,170994,171026,170925,170923,170824,170914,170834,170847,170828,170795,170691,170597,170557,170653,170577,170600,170566,170622,170648,170624,170680,170619,170424,170371,170263,170246,170213,170210,170160,170076,169972,169973,170014,169950,169799,169733,169637,169639,169537,169482,169401,169351,169292,169252,169286,169376,169492,169525,169730,169738,169547
MK06 Pirkanmaa,428770,428828,428975,429151,429350,429532,429762,429930,430254,430466,430614,430651,430730,430764,430885,430918,431187,431469,431726,432066,432243,432355,432459,432391,432378,432414,432569,432771,432942,433183,433431,433589,433803,434013,434212,434066,434246,434402,434459,434700,434861,435093,435240,435565,435671,435778,435897,435789,435737,435903,436061,436222,436315,436543,436734,437183,437582,437743,437864,438114,438158,438460,438667,438875,439058,439316,439575,439954,440167,440306,440498,440734,440782,440932,441084,441248,441397,441671,442076,442421,442476,442594,442662,443065,443147,443340,443555,443677,443951,444221,444531,444872,445235,445239,445339,445536,445687,445751,445861,446009,446184,446569,447009,447394,447628,447775,447835,448045,448153,448160,448219,448413,448561,448883,449241,449688,450040,450274,450410,450548,450665,450844,450975,451131,451322,451592,452009,452354,452653,452892,453087,453319,453503,453710,453845,454112,454462,454839,455251,455966,456228,456639,456720,456934,456904,457054,457204,457414,457597,458030,458454,458996,459444,459656,459805,460103,460099,460179,460353,460499,460732,461030,461465,462278,462739,463046,463235,463330,463426,463606,463881,464119,464382,464843,465272,466176,466533,466908,467307,467424,467634,467781,467959,468273,468521,468945,469453,470272,470647,470920,471180,471409,471654,471944,472098,472321,472575,472923,473406,474254,474633,475136,475454,476221,476555,476810,476945,477206,477497,477926,478370,479203,479744,480137,480426,480634,480879,481113,481279,481601,481827,482135,482565,483517,483843,484223,484429,484638,484862,484899,484973,485250,485452,485858,486304,487308,487738,487946,488204,488295,488486,488674,488946,489183,489309,489631,489967,490867,491068,491308,491536,491746,491889,492128,492300,492480,492677,492988,493445,494343,494782,495014,495177,495242,495505,495712,495899,496145,496410,496664,497255,498168,498378,498743,498894,499006,499169,499351,499559,499859,500051,500233,500823,501678,502046,502248,502435,502575,502681,502825,502975,503109,503288,503363,503905,504727,504914,505267,505572,505756,505884,505886,506129,506272,506358,506618,507059,507877,508054,508317,508428,508448,508461,508595,508655,508976,509004,509323,509869,510940,511349,511522,511577,511642,511667,511768,511946,512083,512182,512243,512773,513787,513954,514146,514209,514333,514465,514563,514606,514769,514895,515271,515655,516791,517006,517194,517284,517333,517535,517646,517727,517807,517862,517962,518391,519397,519748,519916,519925,519872,520103,520227,520417,520508,520517,520723,521292,522158,522408,522752,522830,522852,523131,523406,523679,523931,524109,524498,525212,526208,526681,527089,527359,527478,527716,527958,528134,528246,528536,528962,529547,530848,531427,531911,532346,532671,533003,533303,533820,534196,534608,535314,535992,537600,538656,539047,539196,539309
MK07 Päijät-Häme,204169,204210,204233,204373,204481,204618,204686,204898,204955,204938,204914,204901,204915,205020,205097,205182,205233,205269,205304,205461,205526,205653,205668,205613,205619,205617,205713,205745,205812,205874,205985,206028,205998,206032,206099,206107,206180,206154,206191,206222,206300,206425,206440,206393,206351,206317,206271,206233,206167,206148,206254,206366,206402,206466,206410,206283,206219,206163,206171,206171,206135,206130,206143,206177,206219,206270,206217,206209,206044,205998,205989,205973,205813,205779,205730,205754,205741,205681,205675,205560,205470,205338,205375,205394,205321,205345,205324,205381,205424,205523,205547,205582,205416,205416,205366,205338,205231,205169,205159,205141,205119,205148,205211,205154,205053,205052,205007,205030,205008,204969,204941,204919,204911,204889,204891,204889,204837,204811,204810,204858,204814,204809,204854,204830,204979,204957,205043,205182,204969,205026,205036,204912,204911,204954,205104,205111,205150,205181,205236,205120,205032,205118,205148,205071,205072,205004,205121,205116,205171,205253,205369,205360,205303,205392,205436,205464,205438,205420,205465,205520,205614,205709,205824,205678,205614,205694,205755,205755,205726,205754,205773,205847,205873,205988,206111,206037,205968,206025,206047,206021,205990,206052,206052,206117,206234,206337,206361,206336,206257,206275,206314,206240,206223,206218,206277,206326,206412,206507,206596,206483,206479,206499,206475,206481,206494,206485,206536,206609,206784,206945,207039,207032,207053,207080,207127,207269,207279,207376,207402,207513,207626,207733,207912,207939,207856,207857,207921,207940,207945,207912,208007,208054,208157,208210,208399,208347,208275,208304,208281,208331,208312,208402,208379,208482,208592,208622,208758,208780,208725,208743,208734,208777,208808,208778,208795,208867,208982,209042,209127,209188,209154,209159,209204,209238,209189,209174,209194,209224,209363,209445,209586,209580,209498,209532,209526,209503,209472,209495,209503,209571,209593,209661,209738,209608,209524,209456,209465,209405,209331,209281,209296,209327,209331,209461,209446,209266,209132,209064,209044,208959,208964,208918,208840,208847,208863,208845,208781,208584,208487,208457,208486,208525,208406,208421,208435,208522,208621,208641,208692,208592,208481,208519,208578,208574,208573,208537,208457,208392,208447,208437,208460,208245,208105,208206,208206,208048,208077,208033,207931,207899,207870,207918,207953,207729,207533,207429,207430,207394,207427,207299,207157,207177,207140,207121,207159,206854,206609,206543,206427,206315,206317,206225,206205,206139,206136,206143,206132,205854,205775,205794,205821,205771,205829,205738,205783,205821,205834,205901,205843,205617,205468,205369,205267,205124,204985,204876,204792,204793,204800,204850,204865,204643,204637,204552,204579,204528,204487,204418,204487,204507,204532,204658,204785,204691,204652,204661,204624,204479
