Serial,Match Number,Date,Date_STD,Venue,Venue_Country,Score,Score_Transform,Result,Match_Type
636,636,19 Nov 2003 20:00 (-6:00),19-11-2003,"Alajuela, Estadio Alejandro Morera Soto",Costa Rica,2-1 Costa Rica vs Finland,1-2 Finland vs Costa Rica,Lost,Friendly International
637,637,03 Feb 2004 19:45 (+8:00),03-02-2004,"Guangzhou, Tianhe Stadium",China,2-1 China PR vs Finland,1-2 Finland vs China PR,Lost,Friendly International
638,638,07 Feb 2004 15:30 (+8:00),07-02-2004,"Shenzhen, Shenzhen Stadium",China,2-1 China PR vs Finland,1-2 Finland vs China PR,Lost,Friendly International
639,639,31 Mar 2004 16:00 (+2:00),31-03-2004,"Attard, Ta`Qali National Stadium",Malta,1-2 Malta vs Finland,2-1 Finland vs Malta,Won,Friendly International
640,640,28 Apr 2004 20:00 (+2:00),28-04-2004,"Zenica, Stadion Bilino Polje",Bosnia and Herzegovina,1-0 Bosnia & Herzegovina vs Finland,0-1 Finland vs Bosnia & Herzegovina,Lost,Friendly International
641,641,28 May 2004 20:00 (+3:00),28-05-2004,"Tampere, Tampereen (Ratinan) Stadion",Finland,1-3 Finland vs Sweden,1-3 Finland vs Sweden,Lost,Friendly International
642,642,18 Aug 2004 20:30 (+3:00),18-08-2004,"Bucharest, Stadionul Giulești - Valentin Stănescu",Romania,2-1 Romania vs Finland,1-2 Finland vs Romania,Lost,"2006 FIFA World Cup Qualification, Group 1"
643,643,04 Sep 2004 17:00 (+3:00),04-09-2004,"Tampere, Tampereen (Ratinan) Stadion",Finland,3-0 Finland vs Andorra,3-0 Finland vs Andorra,Won,"2006 FIFA World Cup Qualification, Group 1"
644,644,08 Sep 2004 21:00 (+5:00),08-09-2004,"Yerevan, Republican Vazgen Sargsyan Stadium",Armenia,0-2 Armenia vs Finland,2-0 Finland vs Armenia,Won,"2006 FIFA World Cup Qualification, Group 1"
645,645,09 Oct 2004 17:00 (+3:00),09-10-2004,"Tampere, Tampereen (Ratinan) Stadion",Finland,3-1 Finland vs Armenia,3-1 Finland vs Armenia,Won,"2006 FIFA World Cup Qualification, Group 1"
646,646,13 Oct 2004 20:30 (+2:00),13-10-2004,"Amsterdam, Amsterdam ArenA",Netherlands,3-1 Netherlands vs Finland,1-3 Finland vs Netherlands,Lost,"2006 FIFA World Cup Qualification, Group 1"
647,647,17 Nov 2004 20:45 (+1:00),17-11-2004,"Messina, Stadio San Filippo",Italy,1-0 Italy vs Finland,0-1 Finland vs Italy,Lost,Friendly International
648,648,01 Dec 2004 18:00 (+3:00),01-12-2004,"Riffa, Bahrain National Stadium",Bahrain,1-2 Bahrain vs Finland,2-1 Finland vs Bahrain,Won,"Prime Minister`s Cup 2004, Semifinal"
649,649,03 Dec 2004,03-12-2004,"Riffa, Bahrain National Stadium",Bahrain,0-0 Oman vs Finland,0-0 Finland vs Oman,Draw,"Prime Minister`s Cup 2004, Final"
650,650,08 Feb 2005 18:45 (+2:00),08-02-2005,"Strovolos, G.S.P. Stadium",Cyprus,2-1 Finland vs Latvia,2-1 Finland vs Latvia,Won,"Cyprus International Tournament 2005, Semifinal"
651,651,09 Feb 2005 18:45 (+2:00),09-02-2005,"Strovolos, G.S.P. Stadium",Cyprus,1-2 Cyprus vs Finland,2-1 Finland vs Cyprus,Won,"Cyprus International Tournament 2005, Final"
652,652,12 Mar 2005 20:00 (+3:00),12-03-2005,"Kaifan, Al Kuwait Sports Club Stadium",Kuwait,0-1 Kuwait vs Finland,1-0 Finland vs Kuwait,Won,Friendly International
653,653,18 Mar 2005 19:45 (+3:00),18-03-2005,"Dammam, Prince Mohamed bin Fahd Stadium",Saudi Arabia,1-4 Saudi Arabia vs Finland,4-1 Finland vs Saudi Arabia,Won,Friendly International
654,654,26 Mar 2005 17:00 (+1:00),26-03-2005,"Teplice, Stadion Na Stínadlech",Czech Republic,4-3 Czech Republic vs Finland,3-4 Finland vs Czech Republic,Lost,"2006 FIFA World Cup Qualification, Group 1"
655,655,02 Jun 2005 20:00 (+3:00),02-06-2005,"Tampere, Tampereen (Ratinan) Stadion",Finland,0-1 Finland vs Denmark,0-1 Finland vs Denmark,Lost,Friendly International
656,656,08 Jun 2005 21:00 (+3:00),08-06-2005,"Helsinki, Helsingin Olympiastadion",Finland,0-4 Finland vs Netherlands,0-4 Finland vs Netherlands,Lost,"2006 FIFA World Cup Qualification, Group 1"
657,657,17 Aug 2005 20:00 (+2:00),17-08-2005,"Skopje, Gradski Stadion",North Macedonia,0-3 Macedonia vs Finland,3-0 Finland vs Macedonia,Won,"2006 FIFA World Cup Qualification, Group 1"
658,658,03 Sep 2005 16:00 (+2:00),03-09-2005,"Andorra la Vella, Estadi Comunal d`Andorra la Vella",Andorra,0-0 Andorra vs Finland,0-0 Finland vs Andorra,Draw,"2006 FIFA World Cup Qualification, Group 1"
659,659,07 Sep 2005 19:00 (+3:00),07-09-2005,"Tampere, Tampereen (Ratinan) Stadion",Finland,5-1 Finland vs Macedonia,5-1 Finland vs Macedonia,Won,"2006 FIFA World Cup Qualification, Group 1"
660,660,08 Oct 2005 17:00 (+3:00),08-10-2005,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs Romania,0-1 Finland vs Romania,Lost,"2006 FIFA World Cup Qualification, Group 1"
661,661,12 Oct 2005 18:30 (+3:00),12-10-2005,"Helsinki, Helsingin Olympiastadion",Finland,0-3 Finland vs Czech Republic,0-3 Finland vs Czech Republic,Lost,"2006 FIFA World Cup Qualification, Group 1"
662,662,12 Nov 2005 14:30 (+2:00),12-11-2005,"Helsinki, FinnAir Stadium",Finland,2-2 Finland vs Estonia,2-2 Finland vs Estonia,Draw,Friendly International
663,663,21 Jan 2006 20:10 (+3:00),21-01-2006,"Riyadh, Prince Faisal Bin Fahd Stadium",Saudi Arabia,1-1 Saudi Arabia vs Finland,1-1 Finland vs Saudi Arabia,Draw,LG Cup 2006
664,664,25 Jan 2006 18:40 (+3:00),25-01-2006,"Riyadh, Prince Faisal Bin Fahd Stadium",Saudi Arabia,1-0 South Korea vs Finland,0-1 Finland vs South Korea,Lost,LG Cup 2006
665,665,18 Feb 2006 19:15 (+9:00),18-02-2006,"Fukuroi, Shizuoka Stadium Ecopa",Japan,2-0 Japan vs Finland,0-2 Finland vs Japan,Lost,Friendly International
666,666,28 Feb 2006 17:00 (+2:00),28-02-2006,"Larnaca, G.S.Z. Stadium",Cyprus,0-0 Finland vs Kazakhstan,0-0 Finland vs Kazakhstan,Draw,"Cyprus International Tournament 2006, Semifinal A"
667,667,01 Mar 2006 19:00 (+2:00),01-03-2006,"Paphos, Pafiako Stadium",Cyprus,2-2 Belarus vs Finland,2-2 Finland vs Belarus,Draw,"Cyprus International Tournament 2006, For 3rd place"
668,668,25 May 2006 15:00 (+2:00),25-05-2006,"Gothenburg, Ullevi Stadion",Sweden,0-0 Sweden vs Finland,0-0 Finland vs Sweden,Draw,Friendly International
669,669,16 Aug 2006 19:00 (+3:00),16-08-2006,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Northern Ireland,1-2 Finland vs Northern Ireland,Lost,Friendly International
670,670,02 Sep 2006 20:30 (+2:00),02-09-2006,"Bydgoszcz, Stadion im. Zdzisława Krzyszkowiaka",Poland,1-3 Poland vs Finland,3-1 Finland vs Poland,Won,"UEFA Euro 2008 Qualifying, Group A"
671,671,06 Sep 2006 20:00 (+3:00),06-09-2006,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Portugal,1-1 Finland vs Portugal,Draw,"UEFA Euro 2008 Qualifying, Group A"
672,672,07 Oct 2006 21:00 (+5:00),07-10-2006,"Yerevan, Republican Vazgen Sargsyan Stadium",Armenia,0-0 Armenia vs Finland,0-0 Finland vs Armenia,Draw,"UEFA Euro 2008 Qualifying, Group A"
673,673,11 Oct 2006 22:00 (+6:00),11-10-2006,"Almaty, Almaty Central Stadium",Kazakhstan,0-2 Kazakhstan vs Finland,2-0 Finland vs Kazakhstan,Won,"UEFA Euro 2008 Qualifying, Group A"
674,674,15 Nov 2006 19:00 (+2:00),15-11-2006,"Helsinki, FinnAir Stadium",Finland,1-0 Finland vs Armenia,1-0 Finland vs Armenia,Won,"UEFA Euro 2008 Qualifying, Group A"
675,675,28 Mar 2007 20:00 (+5:00),28-03-2007,"Baku, Tofiq Bəhramov adına Respublika Stadionu",Azerbaijan,1-0 Azerbaijan vs Finland,0-1 Finland vs Azerbaijan,Lost,"UEFA Euro 2008 Qualifying, Group A"
676,676,02 Jun 2007 19:15 (+3:00),02-06-2007,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Serbia,0-2 Finland vs Serbia,Lost,"UEFA Euro 2008 Qualifying, Group A"
677,677,06 Jun 2007 20:15 (+3:00),06-06-2007,"Helsinki, Helsingin Olympiastadion",Finland,2-0 Finland vs Belgium,2-0 Finland vs Belgium,Won,"UEFA Euro 2008 Qualifying, Group A"
678,678,22 Aug 2007 19:00 (+3:00),22-08-2007,"Tampere, Tampereen (Ratinan) Stadion",Finland,2-1 Finland vs Kazakhstan,2-1 Finland vs Kazakhstan,Won,"UEFA Euro 2008 Qualifying, Group A"
679,679,08 Sep 2007 20:15 (+2:00),08-09-2007,"Belgrade, Stadion Crvene Zvezde",Serbia,0-0 Serbia vs Finland,0-0 Finland vs Serbia,Draw,"UEFA Euro 2008 Qualifying, Group A"
680,680,12 Sep 2007 19:00 (+3:00),12-09-2007,"Helsinki, Helsingin Olympiastadion",Finland,0-0 Finland vs Poland,0-0 Finland vs Poland,Draw,"UEFA Euro 2008 Qualifying, Group A"
681,681,13 Oct 2007 20:45 (+2:00),13-10-2007,"Brussels, Stade Roi Baudouin",Belgium,0-0 Belgium vs Finland,0-0 Finland vs Belgium,Draw,"UEFA Euro 2008 Qualifying, Group A"
