Serial,Match Number,Date,Date_STD,Venue,Venue_Country,Score,Score_Transform,Result,Match_Type
735,735,26 Jan 2013 17:00 (+7:00),26-01-2013,"Chiang Mai, 700th Anniversary Stadium",Thailand,0-3 Finland vs Sweden,0-3 Finland vs Sweden,Lost,"King's Cup 2013, Final"
736,736,06 Feb 2013 20:00 (+2:00),06-02-2013,"Netanya, Netanya Stadium",Israel,2-1 Israel vs Finland,1-2 Finland vs Israel,Lost,Friendly International
737,737,22 Mar 2013 20:45 (+1:00),22-03-2013,"Gijón, Estadio Municipal El Molinón",Spain,1-1 Spain vs Finland,1-1 Finland vs Spain,Draw,"2014 FIFA World Cup Qualification, Group I"
738,738,26 Mar 2013 19:30 (+1:00),26-03-2013,"Luxembourg City, Stade Josy Barthel",Luxembourg,0-3 Luxembourg vs Finland,3-0 Finland vs Luxembourg,Won,Friendly International
739,739,07 Jun 2013 19:00 (+3:00),07-06-2013,"Helsinki, Helsingin Olympiastadion",Finland,1-0 Finland vs Belarus,1-0 Finland vs Belarus,Won,"2014 FIFA World Cup Qualification, Group I"
740,740,11 Jun 2013 20:00 (+3:00),11-06-2013,"Gomel, Central Stadium",Belarus,1-1 Belarus vs Finland,1-1 Finland vs Belarus,Draw,"2014 FIFA World Cup Qualification, Group I"
741,741,14 Aug 2013 19:00 (+3:00),14-08-2013,"Turku, Veritas Stadion",Finland,2-0 Finland vs Slovenia,2-0 Finland vs Slovenia,Won,Friendly International
742,742,06 Sep 2013 21:30 (+3:00),06-09-2013,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Spain,0-2 Finland vs Spain,Lost,"2014 FIFA World Cup Qualification, Group I"
743,743,10 Sep 2013 21:00 (+4:00),10-09-2013,"Tbilisi, Dinamo Arena",Georgia,0-1 Georgia vs Finland,1-0 Finland vs Georgia,Won,"2014 FIFA World Cup Qualification, Group I"
744,744,15 Oct 2013 21:00 (+2:00),15-10-2013,"Saint-Denis, Stade de France",France,3-0 France vs Finland,0-3 Finland vs France,Lost,"2014 FIFA World Cup Qualification, Group I"
745,745,16 Nov 2013 18:00,16-11-2013,"Cardiff, Cardiff City Stadium",United Kingdom (Wales),1-1 Wales vs Finland,1-1 Finland vs Wales,Draw,Friendly International
746,746,24 Jan 2014 18:30 (+4:00),24-01-2014,"Nizwa, Nizwa Sports Complex",Oman,0-0 Oman vs Finland,0-0 Finland vs Oman,Draw,Friendly International
747,747,05 Mar 2014 18:00 (+1:00),05-03-2014,"Győr, E.T.O. Park",Hungary,1-2 Hungary vs Finland,2-1 Finland vs Hungary,Won,Friendly International
748,748,21 May 2014 19:00 (+3:00),21-05-2014,"Helsinki, Helsingin Olympiastadion",Finland,2-2 Finland vs Czech Republic,2-2 Finland vs Czech Republic,Draw,Friendly International
749,749,29 May 2014 17:00 (+3:00),29-05-2014,"Ventspils, Olimpiskais Centrs Ventspils",Latvia,1-0 Lithuania vs Finland,0-1 Finland vs Lithuania,Lost,"Baltic Cup 2014, Semifinal"
750,750,31 May 2014 15:00 (+3:00),31-05-2014,"Ventspils, Olimpiskais Centrs Ventspils",Latvia,2-0 Finland vs Estonia,2-0 Finland vs Estonia,Won,"Baltic Cup 2014, For 3rd place"
751,751,07 Sep 2014 19:45 (+1:00),07-09-2014,"Tórshavn, Tórsvøllur",Faroe Islands,1-3 Faroe Islands vs Finland,3-1 Finland vs Faroe Islands,Won,"UEFA Euro 2016 Qualifying, Group F"
752,752,11 Oct 2014 21:45 (+3:00),11-10-2014,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Greece,1-1 Finland vs Greece,Draw,"UEFA Euro 2016 Qualifying, Group F"
753,753,14 Oct 2014 21:45 (+3:00),14-10-2014,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Romania,0-2 Finland vs Romania,Lost,"UEFA Euro 2016 Qualifying, Group F"
754,754,14 Nov 2014 20:45 (+2:00),14-11-2014,"Budapest, Groupama Aréna",Hungary,1-0 Hungary vs Finland,0-1 Finland vs Hungary,Lost,"UEFA Euro 2016 Qualifying, Group F"
755,755,18 Nov 2014 17:00 (+1:00),18-11-2014,"Žilina, Štadión Pod Dubňom",Slovakia,2-1 Slovakia vs Finland,1-2 Finland vs Slovakia,Lost,Friendly International
756,756,19 Jan 2015 22:30 (+4:00),19-01-2015,"Abu Dhabi, Zayed Sports City Stadium",United Arab Emirates,0-1 Sweden vs Finland,1-0 Finland vs Sweden,Won,Friendly International
757,757,22 Jan 2015 18:15 (+4:00),22-01-2015,"Dubai, The Sevens Stadium",United Arab Emirates,0-0 Yemen vs Finland,0-0 Finland vs Yemen,Draw,Friendly International
758,758,29 Mar 2015 17:00 (+1:00),29-03-2015,"Belfast, Windsor Park",United Kingdom (Northern Ireland),2-1 Northern Ireland vs Finland,1-2 Finland vs Northern Ireland,Lost,"UEFA Euro 2016 Qualifying, Group F"
759,759,09 Jun 2015 19:00 (+3:00),09-06-2015,"Turku, Veritas Stadion",Finland,0-2 Finland vs Estonia,0-2 Finland vs Estonia,Lost,Friendly International
760,760,13 Jun 2015 19:00 (+3:00),13-06-2015,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs Hungary,0-1 Finland vs Hungary,Lost,"UEFA Euro 2016 Qualifying, Group F"
761,761,04 Sep 2015 21:45 (+3:00),04-09-2015,"Piraeus, Georgios Karaiskakis Stadium",Greece,0-1 Greece vs Finland,1-0 Finland vs Greece,Won,"UEFA Euro 2016 Qualifying, Group F"
762,762,07 Sep 2015 21:45 (+3:00),07-09-2015,"Helsinki, Helsingin Olympiastadion",Finland,1-0 Finland vs Faroe Islands,1-0 Finland vs Faroe Islands,Won,"UEFA Euro 2016 Qualifying, Group F"
763,763,08 Oct 2015 21:45 (+3:00),08-10-2015,"Bucharest, Arena Națională",Romania,1-1 Romania vs Finland,1-1 Finland vs Romania,Draw,"UEFA Euro 2016 Qualifying, Group F"
764,764,11 Oct 2015 19:00 (+3:00),11-10-2015,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Northern Ireland,1-1 Finland vs Northern Ireland,Draw,"UEFA Euro 2016 Qualifying, Group F"
765,765,10 Jan 2016 18:45 (+4:00),10-01-2016,"Abu Dhabi, Armed Forces Sport Club Stadium",United Arab Emirates,3-0 Sweden vs Finland,0-3 Finland vs Sweden,Lost,Friendly International
766,766,13 Jan 2016 20:00 (+4:00),13-01-2016,"Abu Dhabi, Armed Forces Sport Club Stadium",United Arab Emirates,0-1 Finland vs Iceland,0-1 Finland vs Iceland,Lost,Friendly International
767,767,26 Mar 2016 17:30 (+1:00),26-03-2016,"Wrocław, Stadion Miejski we Wrocławiu",Poland,5-0 Poland vs Finland,0-5 Finland vs Poland,Lost,Friendly International
768,768,29 Mar 2016 20:00 (+2:00),29-03-2016,"Oslo, Ullevaal Stadion",Norway,2-0 Norway vs Finland,0-2 Finland vs Norway,Lost,Friendly International
769,769,01 Jun 2016 20:45 (+2:00),01-06-2016,"Brussels, Stade Roi Baudouin",Belgium,1-1 Belgium vs Finland,1-1 Finland vs Belgium,Draw,Friendly International
770,770,06 Jun 2016 20:45 (+2:00),06-06-2016,"Verona, Stadio Marcantonio Bentegodi",Italy,2-0 Italy vs Finland,0-2 Finland vs Italy,Lost,Friendly International
771,771,31 Aug 2016 20:45 (+2:00),31-08-2016,"Mönchengladbach, Stadion im Borussia-Park",Germany,2-0 Germany vs Finland,0-2 Finland vs Germany,Lost,Friendly International
772,772,05 Sep 2016 21:45 (+3:00),05-09-2016,"Turku, Veritas Stadion",Finland,1-1 Finland vs Kosovo,1-1 Finland vs Kosovo,Draw,"2018 FIFA World Cup Qualification, Group I"
773,773,06 Oct 2016 18:45,06-10-2016,"Reykjavík, Laugardalsvöllur",Iceland,3-2 Iceland vs Finland,2-3 Finland vs Iceland,Lost,"2018 FIFA World Cup Qualification, Group I"
774,774,09 Oct 2016 19:00 (+3:00),09-10-2016,"Tampere, Tampereen (Ratinan) Stadion",Finland,0-1 Finland vs Croatia,0-1 Finland vs Croatia,Lost,"2018 FIFA World Cup Qualification, Group I"
775,775,12 Nov 2016 21:45 (+2:00),12-11-2016,"Odesa, Chornomorets Stadium",Ukraine,1-0 Ukraine vs Finland,0-1 Finland vs Ukraine,Lost,"2018 FIFA World Cup Qualification, Group I"
776,776,09 Jan 2017 18:00 (+4:00),09-01-2017,"Al Ain, Tahnoun bin Mohammed Stadium",United Arab Emirates,0-1 Morocco vs Finland,1-0 Finland vs Morocco,Won,Friendly International
777,777,13 Jan 2017 19:00 (+4:00),13-01-2017,"Abu Dhabi, Armed Forces Sport Club Stadium",United Arab Emirates,2-0 Slovenia vs Finland,0-2 Finland vs Slovenia,Lost,Friendly International
778,778,24 Mar 2017 19:00 (+2:00),24-03-2017,"Antalya, Antalya Stadyumu",Turkey,2-0 Turkey vs Finland,0-2 Finland vs Turkey,Lost,"2018 FIFA World Cup Qualification, Group I"
779,779,28 Mar 2017 20:45 (+2:00),28-03-2017,"Innsbruck, Tivoli Stadion",Austria,1-1 Austria vs Finland,1-1 Finland vs Austria,Draw,Friendly International
780,780,07 Jun 2017 19:00 (+3:00),07-06-2017,"Turku, Veritas Stadion",Finland,1-1 Finland vs Liechtenstein,1-1 Finland vs Liechtenstein,Draw,Friendly International
781,781,11 Jun 2017 19:00 (+3:00),11-06-2017,"Tampere, Tampereen (Ratinan) Stadion",Finland,1-2 Finland vs Ukraine,1-2 Finland vs Ukraine,Lost,"2018 FIFA World Cup Qualification, Group I"
782,782,02 Sep 2017 19:00 (+3:00),02-09-2017,"Tampere, Tampereen (Ratinan) Stadion",Finland,1-0 Finland vs Iceland,1-0 Finland vs Iceland,Won,"2018 FIFA World Cup Qualification, Group I"
783,783,05 Sep 2017 20:45 (+2:00),05-09-2017,"Shkodër, Loro Boriçi Stadiumi",Albania,0-1 Kosovo vs Finland,1-0 Finland vs Kosovo,Won,"2018 FIFA World Cup Qualification, Group I"
784,784,06 Oct 2017 20:45 (+2:00),06-10-2017,"Rijeka, Stadion H.N.K. Rijeka (Rujevica)",Croatia,1-1 Croatia vs Finland,1-1 Finland vs Croatia,Draw,"2018 FIFA World Cup Qualification, Group I"
785,785,09 Oct 2017 21:45 (+3:00),09-10-2017,"Turku, Veritas Stadion",Finland,2-2 Finland vs Turkey,2-2 Finland vs Turkey,Draw,"2018 FIFA World Cup Qualification, Group I"
786,786,09 Nov 2017 19:00 (+2:00),09-11-2017,"Helsinki, Telia 5G Areena",Finland,3-0 Finland vs Estonia,3-0 Finland vs Estonia,Won,Friendly International
787,787,11 Jan 2018 16:30 (+4:00),11-01-2018,"Abu Dhabi, Zayed Sports City Stadium",United Arab Emirates,1-2 Jordan vs Finland,2-1 Finland vs Jordan,Won,Friendly International
788,788,23 Mar 2018 18:00 (+2:00),23-03-2018,"Belek, Gloria Sports Arena",Turkey,0-0 Finland vs Macedonia,0-0 Finland vs Macedonia,Draw,Friendly International
789,789,26 Mar 2018 19:00 (+3:00),26-03-2018,"Belek, Gloria Sports Arena",Turkey,5-0 Finland vs Malta,5-0 Finland vs Malta,Won,Friendly International
790,790,05 Jun 2018 20:30 (+3:00),05-06-2018,"Ploiești, Stadionul Ilie Oană",Romania,2-0 Romania vs Finland,0-2 Finland vs Romania,Lost,Friendly International
791,791,09 Jun 2018 19:00 (+3:00),09-06-2018,"Tampere, Tampereen (Ratinan) Stadion",Finland,2-0 Finland vs Belarus,2-0 Finland vs Belarus,Won,Friendly International
792,792,08 Sep 2018 19:00 (+3:00),08-09-2018,"Tampere, Tampereen (Ratinan) Stadion",Finland,1-0 Finland vs Hungary,1-0 Finland vs Hungary,Won,"2018-19 UEFA Nations League, Group C2"
793,793,11 Sep 2018 21:45 (+3:00),11-09-2018,"Turku, Veritas Stadion",Finland,1-0 Finland vs Estonia,1-0 Finland vs Estonia,Won,"2018-19 UEFA Nations League, Group C2"
794,794,12 Oct 2018 21:45 (+3:00),12-10-2018,"Tallinn, A. Le Coq Arena",Estonia,0-1 Estonia vs Finland,1-0 Finland vs Estonia,Won,"2018-19 UEFA Nations League, Group C2"
795,795,15 Oct 2018 21:45 (+3:00),15-10-2018,"Tampere, Tampereen (Ratinan) Stadion",Finland,2-0 Finland vs Greece,2-0 Finland vs Greece,Won,"2018-19 UEFA Nations League, Group C2"
796,796,15 Nov 2018 21:45 (+2:00),15-11-2018,"Marousi, Olympic Stadium of Athens \""Spyros Louis\"",""1-0 Greece vs Finland",Greece,0-1 Finland vs Greece,Lost,"2018-19 UEFA Nations League, Group C2",
797,797,18 Nov 2018 21:45 (+2:00),18-11-2018,"Budapest, Groupama Aréna",Hungary,2-0 Hungary vs Finland,0-2 Finland vs Hungary,Lost,"2018-19 UEFA Nations League, Group C2"
798,798,08 Jan 2019 19:45 (+3:00),08-01-2019,"Doha, Sheikh Jassim Bin Hamad (Al-Sadd) Stadium",Qatar,1-0 Finland vs Sweden,1-0 Finland vs Sweden,Won,Friendly International
799,799,11 Jan 2019 15:00 (+3:00),11-01-2019,"Al Rayyan, Khalifa International Stadium",Qatar,2-1 Estonia vs Finland,1-2 Finland vs Estonia,Lost,Friendly International
800,800,23 Mar 2019 20:45 (+1:00),23-03-2019,"Udine, Stadio Friuli",Italy,2-0 Italy vs Finland,0-2 Finland vs Italy,Lost,"UEFA Euro 2020 Qualifying, Group J"
801,801,26 Mar 2019 21:00 (+4:00),26-03-2019,"Yerevan, Republican Vazgen Sargsyan Stadium",Armenia,0-2 Armenia vs Finland,2-0 Finland vs Armenia,Won,"UEFA Euro 2020 Qualifying, Group J"
802,802,08 Jun 2019 18:00 (+2:00),08-06-2019,"Tampere, Tampereen (Ratinan) Stadion",Finland,2-0 Finland vs Bosnia & Herzegovina,2-0 Finland vs Bosnia & Herzegovina,Won,"UEFA Euro 2020 Qualifying, Group J"
803,803,11 Jun 2019 20:45 (+2:00),11-06-2019,"Vaduz, Rheinpark Stadion",Liechtenstein,0-2 Liechtenstein vs Finland,2-0 Finland vs Liechtenstein,Won,"UEFA Euro 2020 Qualifying, Group J"
804,804,05 Sep 2019 21:45 (+3:00),05-09-2019,"Tampere, Tampereen (Ratinan) Stadion",Finland,1-0 Finland vs Greece,1-0 Finland vs Greece,Won,"UEFA Euro 2020 Qualifying, Group J"
805,805,08 Sep 2019 21:45 (+3:00),08-09-2019,"Tampere, Tampereen (Ratinan) Stadion",Finland,1-2 Finland vs Italy,1-2 Finland vs Italy,Lost,"UEFA Euro 2020 Qualifying, Group J"
806,806,12 Oct 2019 18:00 (+2:00),12-10-2019,"Zenica, Stadion Bilino Polje",Bosnia and Herzegovina,4-1 Bosnia & Herzegovina vs Finland,1-4 Finland vs Bosnia & Herzegovina,Lost,"UEFA Euro 2020 Qualifying, Group J"
807,807,15 Oct 2019 19:00 (+3:00),15-10-2019,"Turku, Veritas Stadion",Finland,3-0 Finland vs Armenia,3-0 Finland vs Armenia,Won,"UEFA Euro 2020 Qualifying, Group J"
808,808,15 Nov 2019 19:00 (+2:00),15-11-2019,"Helsinki, Telia 5G Areena",Finland,3-0 Finland vs Liechtenstein,3-0 Finland vs Liechtenstein,Won,"UEFA Euro 2020 Qualifying, Group J"
809,809,18 Nov 2019 21:45 (+2:00),18-11-2019,"Marousi, Olympic Stadium of Athens \""Spyros Louis\"",""2-1 Greece vs Finland",Greece,1-2 Finland vs Greece,Lost,"UEFA Euro 2020 Qualifying, Group J",
810,810,03 Sep 2020 21:45 (+3:00),03-09-2020,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs Wales,0-1 Finland vs Wales,Lost,"2020-21 UEFA Nations League, Group B4"
811,811,06 Sep 2020 17:00 (+1:00),06-09-2020,"Dublin, Aviva Stadium",Ireland,0-1 Rep. of Ireland vs Finland,1-0 Finland vs Rep. of Ireland,Won,"2020-21 UEFA Nations League, Group B4"
812,812,07 Oct 2020 20:45 (+2:00),07-10-2020,"Gdańsk, Stadion Energa",Poland,5-1 Poland vs Finland,1-5 Finland vs Poland,Lost,Friendly International
813,813,11 Oct 2020 19:00 (+3:00),11-10-2020,"Helsinki, Helsingin Olympiastadion",Finland,2-0 Finland vs Bulgaria,2-0 Finland vs Bulgaria,Won,"2020-21 UEFA Nations League, Group B4"
814,814,14 Oct 2020 19:00 (+3:00),14-10-2020,"Helsinki, Helsingin Olympiastadion",Finland,1-0 Finland vs Rep. of Ireland,1-0 Finland vs Rep. of Ireland,Won,"2020-21 UEFA Nations League, Group B4"
815,815,11 Nov 2020 21:10 (+1:00),11-11-2020,"Saint-Denis, Stade de France",France,0-2 France vs Finland,2-0 Finland vs France,Won,Friendly International
816,816,15 Nov 2020 19:00 (+2:00),15-11-2020,"Sofia, National Stadium Vasil Levski",Bulgaria,1-2 Bulgaria vs Finland,2-1 Finland vs Bulgaria,Won,"2020-21 UEFA Nations League, Group B4"
817,817,18 Nov 2020 19:45,18-11-2020,"Cardiff, Cardiff City Stadium",United Kingdom (Wales),3-1 Wales vs Finland,1-3 Finland vs Wales,Lost,"2020-21 UEFA Nations League, Group B4"
818,818,24 Mar 2021 21:45 (+2:00),24-03-2021,"Helsinki, Helsingin Olympiastadion",Finland,2-2 Finland vs Bosnia & Herzegovina,2-2 Finland vs Bosnia & Herzegovina,Draw,"2022 FIFA World Cup Qualification, Group D"
819,819,28 Mar 2021 21:45 (+3:00),28-03-2021,"Kyiv, Olimpiysky National Sports Complex",Ukraine,1-1 Ukraine vs Finland,1-1 Finland vs Ukraine,Draw,"2022 FIFA World Cup Qualification, Group D"
820,820,31 Mar 2021 20:45 (+2:00),31-03-2021,"St. Gallen, Kybunpark",Switzerland,3-2 Switzerland vs Finland,2-3 Finland vs Switzerland,Lost,Friendly International
821,821,29 May 2021 19:00 (+2:00),29-05-2021,"Solna, Friends Arena",Sweden,2-0 Sweden vs Finland,0-2 Finland vs Sweden,Lost,Friendly International
822,822,04 Jun 2021 19:00 (+3:00),04-06-2021,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs Estonia,0-1 Finland vs Estonia,Lost,Friendly International
823,823,12 Jun 2021 18:00 (+2:00),12-06-2021,"Copenhagen, Parken",Denmark,0-1 Denmark vs Finland,1-0 Finland vs Denmark,Won,"2020 UEFA European Championship, Group B"
824,824,16 Jun 2021 16:00 (+3:00),16-06-2021,"Saint Petersburg, Gazprom Arena",Russia,0-1 Finland vs Russia,0-1 Finland vs Russia,Lost,"2020 UEFA European Championship, Group B"
825,825,21 Jun 2021 22:00 (+3:00),21-06-2021,"Saint Petersburg, Gazprom Arena",Russia,0-2 Finland vs Belgium,0-2 Finland vs Belgium,Lost,"2020 UEFA European Championship, Group B"
826,826,01 Sep 2021 19:00 (+3:00),01-09-2021,"Helsinki, Helsingin Olympiastadion",Finland,0-0 Finland vs Wales,0-0 Finland vs Wales,Draw,Friendly International
827,827,04 Sep 2021 16:00 (+3:00),04-09-2021,"Helsinki, Helsingin Olympiastadion",Finland,1-0 Finland vs Kazakhstan,1-0 Finland vs Kazakhstan,Won,"2022 FIFA World Cup Qualification, Group D"
828,828,07 Sep 2021 20:45 (+2:00),07-09-2021,"Décines-Charpieu, Groupama Stadium",France,2-0 France vs Finland,0-2 Finland vs France,Lost,"2022 FIFA World Cup Qualification, Group D"
829,829,09 Oct 2021 19:00 (+3:00),09-10-2021,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Ukraine,1-2 Finland vs Ukraine,Lost,"2022 FIFA World Cup Qualification, Group D"
830,830,12 Oct 2021 20:00 (+6:00),12-10-2021,"Nur-Sultan, Astana Arena",Kazakhstan,0-2 Kazakhstan vs Finland,2-0 Finland vs Kazakhstan,Won,"2022 FIFA World Cup Qualification, Group D"
831,831,13 Nov 2021 15:00 (+1:00),13-11-2021,"Zenica, Stadion Bilino Polje",Bosnia and Herzegovina,1-3 Bosnia & Herzegovina vs Finland,3-1 Finland vs Bosnia & Herzegovina,Won,"2022 FIFA World Cup Qualification, Group D"
832,832,16 Nov 2021 21:45 (+2:00),16-11-2021,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs France,0-2 Finland vs France,Lost,"2022 FIFA World Cup Qualification, Group D"
833,833,26 Mar 2022 17:00 (+1:00),26-03-2022,"Murcia, Estadio Enrique Roca de Murcia",Spain,1-1 Finland vs Iceland,1-1 Finland vs Iceland,Draw,Friendly International
834,834,29 Mar 2022 18:00 (+2:00),29-03-2022,"Murcia, Estadio Enrique Roca de Murcia",Spain,0-2 Finland vs Slovakia,0-2 Finland vs Slovakia,Lost,Friendly International
835,835,04 Jun 2022 19:00 (+3:00),04-06-2022,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Bosnia & Herzegovina,1-1 Finland vs Bosnia & Herzegovina,Draw,"2022-23 UEFA Nations League, Group B3"
836,836,07 Jun 2022 19:00 (+3:00),07-06-2022,"Helsinki, Helsingin Olympiastadion",Finland,2-0 Finland vs Montenegro,2-0 Finland vs Montenegro,Won,"2022-23 UEFA Nations League, Group B3"
837,837,11 Jun 2022 21:45 (+3:00),11-06-2022,"Bucharest, Stadionul Rapid-Giulești",Romania,1-0 Romania vs Finland,0-1 Finland vs Romania,Lost,"2022-23 UEFA Nations League, Group B3"
838,838,14 Jun 2022 20:45 (+2:00),14-06-2022,"Zenica, Stadion Bilino Polje",Bosnia and Herzegovina,3-2 Bosnia & Herzegovina vs Finland,2-3 Finland vs Bosnia & Herzegovina,Lost,"2022-23 UEFA Nations League, Group B3"
839,839,23 Sep 2022 21:45 (+3:00),23-09-2022,"Helsinki, Helsingin Olympiastadion",Finland,1-1 Finland vs Romania,1-1 Finland vs Romania,Draw,"2022-23 UEFA Nations League, Group B3"
840,840,26 Sep 2022 20:45 (+2:00),26-09-2022,"Podgorica, Stadion Pod Goricom",Montenegro,0-2 Montenegro vs Finland,2-0 Finland vs Montenegro,Won,"2022-23 UEFA Nations League, Group B3"
841,841,17 Nov 2022 18:00 (+1:00),17-11-2022,"Skopje, Nacionalna Arena Toše Proeski",North Macedonia,1-1 North Macedonia vs Finland,1-1 Finland vs North Macedonia,Draw,Friendly International
842,842,20 Nov 2022 14:00 (+1:00),20-11-2022,"Oslo, Ullevaal Stadion",Norway,1-1 Norway vs Finland,1-1 Finland vs Norway,Draw,Friendly International
843,843,09 Jan 2023 18:45,09-01-2023,"Loulé, Estádio Algarve",Portugal,2-0 Sweden vs Finland,0-2 Finland vs Sweden,Lost,Friendly International
844,844,12 Jan 2023 16:00,12-01-2023,"Albufeira, Estadio da Nora",Portugal,0-1 Finland vs Estonia,0-1 Finland vs Estonia,Lost,Friendly International
845,845,23 Mar 2023 20:45 (+1:00),23-03-2023,"Copenhagen, Parken",Denmark,3-1 Denmark vs Finland,1-3 Finland vs Denmark,Lost,"UEFA Euro 2024 Qualifying, Group H"
846,846,26 Mar 2023 19:45 (+1:00),26-03-2023,"Belfast, National Football Stadium at Windsor Park",Denmark,0-1 Northern Ireland vs Finland,1-0 Finland vs Northern Ireland,Won,"UEFA Euro 2024 Qualifying, Group H"
847,847,16 Jun 2023 19:00 (+3:00),16-06-2023,"Helsinki, Helsingin Olympiastadion",Finland,2-0 Finland vs Slovenia,2-0 Finland vs Slovenia,Won,"UEFA Euro 2024 Qualifying, Group H"
848,848,19 Jun 2023 19:00 (+3:00),19-06-2023,"Helsinki, Helsingin Olympiastadion",Finland,6-0 Finland vs San Marino,6-0 Finland vs San Marino,Won,"UEFA Euro 2024 Qualifying, Group H"
849,849,07 Sep 2023 20:00 (+6:00),07-09-2023,"Astana, Astana Arena",Kazakhstan,0-1 Kazakhstan vs Finland,1-0 Finland vs Kazakhstan,Won,"UEFA Euro 2024 Qualifying, Group H"
850,850,10 Sep 2023 19:00 (+3:00),10-09-2023,"Helsinki, Helsingin Olympiastadion",Finland,0-1 Finland vs Denmark,0-1 Finland vs Denmark,Lost,"UEFA Euro 2024 Qualifying, Group H"
851,851,14 Oct 2023 18:00 (+2:00),14-10-2023,"Ljubljana, Stadion Stožice",Slovenia,3-0 Slovenia vs Finland,0-3 Finland vs Slovenia,Lost,"UEFA Euro 2024 Qualifying, Group H"
852,852,17 Oct 2023 19:00 (+3:00),17-10-2023,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Kazakhstan,1-2 Finland vs Kazakhstan,Lost,"UEFA Euro 2024 Qualifying, Group H"
853,853,17 Nov 2023 19:00 (+2:00),17-11-2023,"Helsinki, Helsingin Olympiastadion",Finland,4-0 Finland vs Northern Ireland,4-0 Finland vs Northern Ireland,Won,"UEFA Euro 2024 Qualifying, Group H"
854,854,20 Nov 2023 20:45 (+1:00),20-11-2023,"Serravalle, San Marino Stadium",San Marino,1-2 San Marino vs Finland,2-1 Finland vs San Marino,Won,"UEFA Euro 2024 Qualifying, Group H"
855,855,21 Mar 2024 19:45,21-03-2024,"Cardiff, Cardiff City Stadium",United Kingdom (Wales),4-1 Wales vs Finland,1-4 Finland vs Wales,Lost,"UEFA Euro 2024 Qualifying, Play-off"
856,856,26 Mar 2024 19:00 (+2:00),26-03-2024,"Helsinki, Helsingin Olympiastadion",Finland,2-1 Finland vs Estonia,2-1 Finland vs Estonia,Won,Friendly International
857,857,04 Jun 2024 19:45 (+1:00),04-06-2024,"Lisbon, Estádio José Alvalade",Portugal,4-2 Portugal vs Finland,2-4 Finland vs Portugal,Lost,Friendly International
858,858,07 Jun 2024 19:45 (+1:00),07-06-2024,"Glasgow, Hampden Park",United Kingdom (Scotland),2-2 Scotland vs Finland,2-2 Finland vs Scotland,Draw,Friendly International
859,859,07 Sep 2024 21:45 (+3:00),07-09-2024,"Nea Filadelfeia, O.P.A.P. Arena",Greece,3-0 Greece vs Finland,0-3 Finland vs Greece,Lost,"2024-25 UEFA Nations League, Group B2"
860,860,10 Sep 2024 19:45 (+1:00),10-09-2024,"London, Wembley Stadium",United Kingdom (England),2-0 England vs Finland,0-2 Finland vs England,Lost,"2024-25 UEFA Nations League, Group B2"
861,861,10 Oct 2024 21:45 (+3:00),10-10-2024,"Helsinki, Helsingin Olympiastadion",Finland,1-2 Finland vs Rep. of Ireland,1-2 Finland vs Rep. of Ireland,Lost,"2024-25 UEFA Nations League, Group B2"
862,862,13 Oct 2024 19:00 (+3:00),13-10-2024,"Helsinki, Helsingin Olympiastadion",Finland,1-3 Finland vs England,1-3 Finland vs England,Lost,"2024-25 UEFA Nations League, Group B2"
863,863,14 Nov 2024 19:45,14-11-2024,"Dublin, Aviva Stadium",Ireland,1-0 Rep. of Ireland vs Finland,0-1 Finland vs Rep. of Ireland,Lost,"2024-25 UEFA Nations League, Group B2"
864,864,17 Nov 2024 19:00 (+2:00),17-11-2024,"Helsinki, Helsingin Olympiastadion",Finland,0-2 Finland vs Greece,0-2 Finland vs Greece,Lost,"2024-25 UEFA Nations League, Group B2"
865,865,21 Mar 2025 20:45 (+1:00),21-03-2025,"Attard, Ta'Qali National Stadium",Malta,0-1 Malta vs Finland,1-0 Finland vs Malta,Won,"2026 FIFA World Cup Qualification, Group G"
866,866,24 Mar 2025 19:00 (+2:00),24-03-2025,"Kaunas, Steponas Darius ir Stasys Girėnas Stadionas",Lithuania,2-2 Lithuania vs Finland,2-2 Finland vs Lithuania,Draw,"2026 FIFA World Cup Qualification, Group G"
