Epochs,Sensitivity,Specificity,Accuracy,Date_Time
120,0.36,0.80,0.71,2025-02-03 21:22:30
120,0.43,0.66,0.62,2025-02-03 21:51:47
120,0.36,0.66,0.60,2025-02-03 22:22:30
120,0.14,0.81,0.68,2025-02-03 22:50:42
